system,condition,verdict,occurrences,first_location,scope_judgement
Rheumatology and Musculoskeletal,Bicep tendinosis,ABSENT,0,weak-signal:tendinosis=4,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Bunions,ABSENT,0,,GAP: zero hits; see Hallux valgus
Rheumatology and Musculoskeletal,Cervical arthritis,ABSENT,0,weak-signal:arthritis=108,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Cervical Disc Syndrome,ABSENT,0,weak-signal:Cervical=118,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Cervical spondylosis,OWNS ENTRY,3,11_06_Ortho_-_Spinal_Orthopaedics.md#Cervical spondylosis (degenerative cervical spine disease / degenerative disc disease),covered - owns an entry
Rheumatology and Musculoskeletal,Claw toe,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Compression fracture,IN A TAUGHT SECTION,1,11_06_Ortho_-_Spinal_Orthopaedics.md#Vertebral compression (crush) fracture,covered - named inside a teaching entry
Rheumatology and Musculoskeletal,De Quervain's Tenosynovitis,OWNS ENTRY,0,11_03_Ortho_-_Hand_and_Foot.md#De Quervain's tenosynovitis,covered - owns an entry
Rheumatology and Musculoskeletal,Degenerative disc disease,OWNS ENTRY,1,11_06_Ortho_-_Spinal_Orthopaedics.md#Cervical spondylosis (degenerative cervical spine disease / degenerative disc disease),covered - owns an entry
Rheumatology and Musculoskeletal,Disc herniation,MENTIONED,1,,named in prose only - not individually verified
Rheumatology and Musculoskeletal,Epicondylitis,OWNS ENTRY,2,11_02_Ortho_-_Upper_Limb__Shoulder__Elbow__Distal_Radius_Fractures_.md#Medial epicondylitis (golfer's elbow),covered - owns an entry
Rheumatology and Musculoskeletal,Femoroacetabular impingement,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Flexor tenosynovitis,MENTIONED,2,,named in prose only - not individually verified
Rheumatology and Musculoskeletal,Hallux valgus,ABSENT,0,,GAP: zero hits for hallux valgus or bunion
Rheumatology and Musculoskeletal,Hammer toe,IN A TAUGHT SECTION,1,04_Neurology.md#Charcot-Marie-Tooth Disease,covered - named inside a teaching entry
Rheumatology and Musculoskeletal,Lumbar Disc Syndrome,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Lumbar Spinal Stenosis,ABSENT,0,weak-signal:Stenosis=76,COVERED-SYNONYM: spinal stenosis
Rheumatology and Musculoskeletal,Mallet toe,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Neuropathic arthropathy (Charcot joint),OWNS ENTRY,4,11_07b_Ortho_-_Osteomyelitis__Osteochondritis_Dissecans__Fat_Embolism__Charcot_Joint__Osteomalacia.md#Charcot joint (neuropathic joint),covered - owns an entry
Rheumatology and Musculoskeletal,Osteoarthritis (OA),OWNS ENTRY,17,12_01_Rheum_-_Rheumatoid_Arthritis__Osteoarthritis__Psoriatic_Arthritis.md#Osteoarthritis (OA),covered - owns an entry
Rheumatology and Musculoskeletal,Osteophyte,MENTIONED,5,,named in prose only - not individually verified
Rheumatology and Musculoskeletal,Patellofemoral syndrome,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Plantar fasciitis,OWNS ENTRY,0,11_03_Ortho_-_Hand_and_Foot.md#Plantar fasciitis,covered - owns an entry
Rheumatology and Musculoskeletal,Popliteal cyst,ABSENT,0,weak-signal:Popliteal=11,"COVERED - GAP WITHDRAWN: same entry as Baker cyst, its other name"
Rheumatology and Musculoskeletal,Rectus diastasis,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Rotator cuff disease,OWNS ENTRY,0,11_02_Ortho_-_Upper_Limb__Shoulder__Elbow__Distal_Radius_Fractures_.md#Rotator cuff injury,covered - owns an entry
Rheumatology and Musculoskeletal,Slipped capital femoral epiphysis,OWNS ENTRY,1,11_10_Ortho_-_Paediatric_Orthopaedics.md#Slipped capital femoral epiphysis (SCFE / SUFE),covered - owns an entry
Rheumatology and Musculoskeletal,Spinal stenosis,OWNS ENTRY,2,11_06_Ortho_-_Spinal_Orthopaedics.md#Spinal stenosis (lumbar spondylosis),covered - owns an entry
Rheumatology and Musculoskeletal,Spondylolisthesis,IN A TAUGHT SECTION,1,11_06_Ortho_-_Spinal_Orthopaedics.md#Spinal stenosis (lumbar spondylosis),covered - named inside a teaching entry
Rheumatology and Musculoskeletal,Spondylosis,OWNS ENTRY,5,11_06_Ortho_-_Spinal_Orthopaedics.md#Cervical spondylosis (degenerative cervical spine disease / degenerative disc disease),covered - owns an entry
Rheumatology and Musculoskeletal,Temporomandibular Joint Disease,ABSENT,0,weak-signal:Temporomandibular=1,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Trigger Finger/Thumb (Stenosing Tenosynovitis),IN A TAUGHT SECTION,1,11_03_Ortho_-_Hand_and_Foot.md#Trigger finger,covered - named inside a teaching entry
Rheumatology and Musculoskeletal,Duchenne muscular dystrophy,IN A TAUGHT SECTION,4,01_Cardiovascular.md#0.25 Dilated Cardiomyopathy,covered - named inside a teaching entry
Rheumatology and Musculoskeletal,Ehlers-Danlos,IN A TAUGHT SECTION,4,01_Cardiovascular.md#0.35.5 Aortic Dissection,covered - named inside a teaching entry
Rheumatology and Musculoskeletal,Ehlers-Danlos type IV syndrome,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Ehlers-Danlos type VI,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Jackson-Weiss syndrome,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Joint hypermobility,ABSENT,0,weak-signal:hypermobility=1,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Adhesive capsulitis,OWNS ENTRY,2,11_02_Ortho_-_Upper_Limb__Shoulder__Elbow__Distal_Radius_Fractures_.md#Adhesive capsulitis (frozen shoulder),covered - owns an entry
Rheumatology and Musculoskeletal,Aneurysmal bone cyst,ABSENT,0,weak-signal:Aneurysmal=4,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Avascular necrosis (AVN),OWNS ENTRY,8,11_04_Ortho_-_Hip.md#Avascular necrosis of the hip,covered - owns an entry
Rheumatology and Musculoskeletal,Capsular contracture,ABSENT,0,weak-signal:contracture=11,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Capsulitis,OWNS ENTRY,2,11_02_Ortho_-_Upper_Limb__Shoulder__Elbow__Distal_Radius_Fractures_.md#Adhesive capsulitis (frozen shoulder),covered - owns an entry
Rheumatology and Musculoskeletal,Carpal tunnel syndrome,OWNS ENTRY,10,11_03_Ortho_-_Hand_and_Foot.md#Carpal tunnel syndrome,covered - owns an entry
Rheumatology and Musculoskeletal,Costochondritis,MENTIONED,1,,named in prose only - not individually verified
Rheumatology and Musculoskeletal,Coxa plana,ABSENT,0,,COVERED-SYNONYM: Perthes
Rheumatology and Musculoskeletal,Cubital tunnel syndrome,OWNS ENTRY,1,11_02_Ortho_-_Upper_Limb__Shoulder__Elbow__Distal_Radius_Fractures_.md#Cubital tunnel syndrome,covered - owns an entry
Rheumatology and Musculoskeletal,Dupuytren's Contracture,OWNS ENTRY,3,11_03_Ortho_-_Hand_and_Foot.md#Dupuytren's contracture,covered - owns an entry
Rheumatology and Musculoskeletal,Fibromyalgia,OWNS ENTRY,16,12_02_Rheum_-_Ankylosing_Spondylitis__Gout__Pseudogout__Reactive_Arthritis__Fibromyalgia__PMR__CFS.md#Fibromyalgia,covered - owns an entry
Rheumatology and Musculoskeletal,Frozen shoulder,OWNS ENTRY,1,11_02_Ortho_-_Upper_Limb__Shoulder__Elbow__Distal_Radius_Fractures_.md#Adhesive capsulitis (frozen shoulder),covered - owns an entry
Rheumatology and Musculoskeletal,Ganglion Cyst,ABSENT,0,weak-signal:Ganglion=7,"COVERED-SYNONYM: ganglion, 10 uses"
Rheumatology and Musculoskeletal,Kyphoscoliosis,IN A TAUGHT SECTION,3,04_Neurology.md#Friedreich's Ataxia,covered - named inside a teaching entry
Rheumatology and Musculoskeletal,Kyphosis,OWNS ENTRY,5,11_06_Ortho_-_Spinal_Orthopaedics.md#Scheuermann's kyphosis (juvenile kyphosis),covered - owns an entry
Rheumatology and Musculoskeletal,Ledderhose's disease,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Legg-Calve-Perthes disease,ABSENT,0,,COVERED-SYNONYM: Perthes
Rheumatology and Musculoskeletal,Musculoskeletal disorders,ABSENT,0,weak-signal:Musculoskeletal=22,UMBRELLA LABEL - not a condition an entry could own
Rheumatology and Musculoskeletal,Myofascial pain syndrome,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Ossification of the posterior longitudinal ligament,ABSENT,0,weak-signal:Ossification=2,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Osteochondritis dissecans,OWNS ENTRY,3,11_07b_Ortho_-_Osteomyelitis__Osteochondritis_Dissecans__Fat_Embolism__Charcot_Joint__Osteomalacia.md#Osteochondritis dissecans,covered - owns an entry
Rheumatology and Musculoskeletal,Scoliosis,OWNS ENTRY,21,11_06_Ortho_-_Spinal_Orthopaedics.md#Scoliosis,covered - owns an entry
Rheumatology and Musculoskeletal,Unicameral bone cyst,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Grisel's syndrome,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Reactive arthritis (ReA),OWNS ENTRY,20,12_02_Rheum_-_Ankylosing_Spondylitis__Gout__Pseudogout__Reactive_Arthritis__Fibromyalgia__PMR__CFS.md#Reactive arthritis,covered - owns an entry
Rheumatology and Musculoskeletal,Septic arthritis,OWNS ENTRY,35,11_01_Ortho_-_Orthopaedic_Emergencies.md#Septic arthritis,covered - owns an entry
Rheumatology and Musculoskeletal,Osteomyelitis,OWNS ENTRY,20,11_07b_Ortho_-_Osteomyelitis__Osteochondritis_Dissecans__Fat_Embolism__Charcot_Joint__Osteomalacia.md#Osteomyelitis,covered - owns an entry
Rheumatology and Musculoskeletal,Achondroplasia,OWNS ENTRY,5,15_21b_Paeds_-_Fragile_X__Achondroplasia__Noonan__Marfan.md#Achondroplasia,covered - owns an entry
Rheumatology and Musculoskeletal,Becker muscular dystrophy,IN A TAUGHT SECTION,1,15_19b_Paeds_-_Cerebral_Palsy_and_Muscular_Dystrophies.md#Muscular dystrophies,covered - named inside a teaching entry
Rheumatology and Musculoskeletal,Classical Ehlers-Danlos Syndrome,ABSENT,0,weak-signal:Classical=124,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Crouzon's syndrome,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Primary hypertrophic osteoarthropathy,ABSENT,0,weak-signal:osteoarthropathy=1,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Skeletal dysplasia,MENTIONED,1,,named in prose only - not individually verified
Rheumatology and Musculoskeletal,McArdle's disease,IN A TAUGHT SECTION,1,15_17b_Paeds_-_Glycogen_Storage_Disorders__PKU__Lysosomal_Storage_Diseases.md#Glycogen storage disorders,covered - named inside a teaching entry
Rheumatology and Musculoskeletal,Muscular dystrophies,OWNS ENTRY,10,15_19b_Paeds_-_Cerebral_Palsy_and_Muscular_Dystrophies.md#Muscular dystrophies,covered - owns an entry
Rheumatology and Musculoskeletal,Gout,OWNS ENTRY,27,12_02_Rheum_-_Ankylosing_Spondylitis__Gout__Pseudogout__Reactive_Arthritis__Fibromyalgia__PMR__CFS.md#Gout,covered - owns an entry
Rheumatology and Musculoskeletal,Juvenile cheiroarthropathy,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Osteopenia,IN A TAUGHT SECTION,5,03_Gastrointestinal.md#Primary Sclerosing Cholangitis (PSC),covered - named inside a teaching entry
Rheumatology and Musculoskeletal,Osteoporosis,OWNS ENTRY,44,11_04_Ortho_-_Hip.md#Idiopathic transient osteoporosis of the hip,covered - owns an entry
Rheumatology and Musculoskeletal,Paget's disease,OWNS ENTRY,14,11_08b_Ortho_-_Paget_s_Disease_and_Osteoporosis.md#Paget's disease of the bone,covered - owns an entry
Rheumatology and Musculoskeletal,Paget's Disease of Bone,OWNS ENTRY,3,11_08b_Ortho_-_Paget_s_Disease_and_Osteoporosis.md#Paget's disease of the bone,covered - owns an entry
Rheumatology and Musculoskeletal,Pseudogout (CPPD),OWNS ENTRY,17,12_02_Rheum_-_Ankylosing_Spondylitis__Gout__Pseudogout__Reactive_Arthritis__Fibromyalgia__PMR__CFS.md#Pseudogout,covered - owns an entry
Rheumatology and Musculoskeletal,Rhabdomyolysis,OWNS ENTRY,14,11_01_Ortho_-_Orthopaedic_Emergencies.md#Rhabdomyolysis,covered - owns an entry
Rheumatology and Musculoskeletal,Tophi,IN A TAUGHT SECTION,2,12_02_Rheum_-_Ankylosing_Spondylitis__Gout__Pseudogout__Reactive_Arthritis__Fibromyalgia__PMR__CFS.md#Gout,covered - named inside a teaching entry
Rheumatology and Musculoskeletal,Enchondroma,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Fibrous cortical defect,ABSENT,0,weak-signal:cortical=18,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Osteoblastoma,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Osteochondroma,OWNS ENTRY,0,11_07b_Ortho_-_Osteomyelitis__Osteochondritis_Dissecans__Fat_Embolism__Charcot_Joint__Osteomalacia.md#Osteochondritis dissecans,covered - owns an entry
Rheumatology and Musculoskeletal,Osteoid osteoma,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Osteomas,IN A TAUGHT SECTION,2,10_11b_Oncology_-_Genetic_Cancer_Predisposition_Syndromes.md#Familial adenomatous polyposis (FAP),covered - named inside a teaching entry
Rheumatology and Musculoskeletal,Pathologic fracture,OWNS ENTRY,0,11_08c_Ortho_-_Fracture_Types_and_Pathological_Fractures.md#Pathological fractures,covered - owns an entry
Rheumatology and Musculoskeletal,Achilles tendon rupture,OWNS ENTRY,0,11_05_Ortho_-_Knee_and_Ankle.md#Achilles tendon,covered - owns an entry
Rheumatology and Musculoskeletal,Acromioclavicular joint pathology,OWNS ENTRY,0,11_02_Ortho_-_Upper_Limb__Shoulder__Elbow__Distal_Radius_Fractures_.md#Acromioclavicular joint injury,covered - owns an entry
Rheumatology and Musculoskeletal,AO Spine upper cervical spine injury classification,ABSENT,0,weak-signal:classification=95,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Bankart lesion,IN A TAUGHT SECTION,1,11_02_Ortho_-_Upper_Limb__Shoulder__Elbow__Distal_Radius_Fractures_.md#Shoulder labral tear (including SLAP lesion),covered - named inside a teaching entry
Rheumatology and Musculoskeletal,Bennett's fracture,ABSENT,0,weak-signal:fracture=300,"GAP: zero hits; intra-articular base-of-thumb-metacarpal fracture, and the corpus owns entries for Colles, Smith, Barton, Monteggia, Galeazzi and Boxer"
Rheumatology and Musculoskeletal,Boxer's fracture,OWNS ENTRY,0,11_03_Ortho_-_Hand_and_Foot.md#Boxer fracture,covered - owns an entry
Rheumatology and Musculoskeletal,Bursitis,OWNS ENTRY,10,11_02_Ortho_-_Upper_Limb__Shoulder__Elbow__Distal_Radius_Fractures_.md#Olecranon bursitis,covered - owns an entry
Rheumatology and Musculoskeletal,Burst fracture,ABSENT,0,weak-signal:fracture=300,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Butterfly fracture,ABSENT,0,weak-signal:Butterfly=3,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Calcaneal fracture,ABSENT,0,weak-signal:Calcaneal=1,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Chondral defect,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Clavicle fracture,ABSENT,0,weak-signal:Clavicle=10,"COVERED-SYNONYM: clavicle content, 25 uses"
Rheumatology and Musculoskeletal,Clay-shoveler fracture,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Collateral ligament tear,ABSENT,0,weak-signal:Collateral=21,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Colles' fracture,OWNS ENTRY,4,11_02_Ortho_-_Upper_Limb__Shoulder__Elbow__Distal_Radius_Fractures_.md#Colles' fracture,covered - owns an entry
Rheumatology and Musculoskeletal,Comminuted fracture,ABSENT,0,weak-signal:Comminuted=3,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Compartment syndrome,OWNS ENTRY,14,11_01_Ortho_-_Orthopaedic_Emergencies.md#Compartment syndrome,covered - owns an entry
Rheumatology and Musculoskeletal,Cruciate ligament tear,ABSENT,0,,COVERED-SYNONYM: ACL content
Rheumatology and Musculoskeletal,Distal femoral fracture,ABSENT,0,weak-signal:fracture=300,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Distal humeral fracture,ABSENT,0,weak-signal:fracture=300,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Distraction fracture,ABSENT,0,weak-signal:Distraction=3,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Elbow dislocation,ABSENT,0,weak-signal:dislocation=30,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Facet fracture,ABSENT,0,weak-signal:fracture=300,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Femoral diaphysis fracture,ABSENT,0,weak-signal:diaphysis=1,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Femoral neck fracture,ABSENT,0,weak-signal:fracture=300,"COVERED-SYNONYM: neck of femur / NOF fracture, 29 uses"
Rheumatology and Musculoskeletal,Fracture,OWNS ENTRY,301,11_01_Ortho_-_Orthopaedic_Emergencies.md#Open fractures,covered - owns an entry
Rheumatology and Musculoskeletal,Fractures of the Spine,ABSENT,0,weak-signal:Fractures=90,UMBRELLA LABEL - not a condition an entry could own
Rheumatology and Musculoskeletal,Galeazzi fracture,OWNS ENTRY,1,11_02_Ortho_-_Upper_Limb__Shoulder__Elbow__Distal_Radius_Fractures_.md#Galeazzi fracture,covered - owns an entry
Rheumatology and Musculoskeletal,Gamekeeper's thumb,ABSENT,0,,GAP: zero hits for gamekeeper or skier's thumb
Rheumatology and Musculoskeletal,Greenstick fracture,ABSENT,0,weak-signal:Greenstick=3,COVERED-SYNONYM: greenstick/torus/buckle content
Rheumatology and Musculoskeletal,Hangman fracture,ABSENT,0,weak-signal:fracture=300,GAP: zero hits; C2 traumatic spondylolisthesis
Rheumatology and Musculoskeletal,Heterotopic bone formation,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Heterotopic ossification,ABSENT,0,weak-signal:ossification=2,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Hill-Sachs lesion,ABSENT,0,,"GAP: zero hits, while Bankart is named in the shoulder dislocation content - half of a pair"
Rheumatology and Musculoskeletal,Hip dislocation,OWNS ENTRY,1,11_04_Ortho_-_Hip.md#Hip dislocation,covered - owns an entry
Rheumatology and Musculoskeletal,Humeral shaft fracture,MENTIONED,1,,named in prose only - not individually verified
Rheumatology and Musculoskeletal,Intertrochanteric fracture,MENTIONED,1,,named in prose only - not individually verified
Rheumatology and Musculoskeletal,Intra-articular fracture,IN A TAUGHT SECTION,2,11_02_Ortho_-_Upper_Limb__Shoulder__Elbow__Distal_Radius_Fractures_.md#Barton's fracture,covered - named inside a teaching entry
Rheumatology and Musculoskeletal,Jefferson fracture,ABSENT,0,,GAP: zero hits; C1 burst fracture
Rheumatology and Musculoskeletal,Knee dislocation,ABSENT,0,weak-signal:dislocation=30,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Lateral collateral ligament tear,ABSENT,0,weak-signal:collateral=21,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Lisfranc fracture,ABSENT,0,,"GAP: zero hits; midfoot injury classically missed on plain films, and the corpus owns a metatarsal fracture entry"
Rheumatology and Musculoskeletal,Mallet Finger,ABSENT,0,,GAP: zero hits; a splinting decision an intern makes in ED
Rheumatology and Musculoskeletal,Mandibular Fracture,ABSENT,0,weak-signal:Mandibular=4,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,McMurray's test,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Medial collateral ligament tear,ABSENT,0,weak-signal:collateral=21,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Medial tibial stress syndrome,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Rheumatology and Musculoskeletal,Meniscal tear,ABSENT,0,,COVERED-SYNONYM: meniscus content
